,Event,Group,RP,rp z [mm],honza_x [mm],multitrack_x [mm],honza_y [mm],multitrack_y [mm],x_diff [mm],y_diff [mm],hits_diff [mm]
0,2,L-BOT,5,-213000.0,-0.16397775841945084,-0.14205745545606746,-8.403021538560123,-8.404382813730765,0.021920302963383376,0.0013612751706411075,0.021962530639630717
1,2,L-BOT,21,-214628.0,-0.15881603358134466,-0.1466803243212499,-8.674281114061957,-8.677917912387608,0.012135709260094774,0.003636798325651114,0.012668928183039352
2,2,L-BOT,25,-220000.0,-0.10071879297123676,-0.16193465573633598,-9.591364159290258,-9.580516530314249,0.061215862765099216,0.010847628976009105,0.06216954968854618
3,2,R-TOP,104,213000.0,-0.12796253098016663,-0.10753473381730394,8.91100099419361,8.933197846286747,0.020427797162862693,0.0221968520931366,0.03016612570038857
4,2,R-TOP,120,214628.0,-0.11173265678123112,-0.1110339570729416,9.225434014681067,9.22394530130963,0.0006986997082895213,0.001488713371436745,0.0016445208374047506
5,2,R-TOP,124,220000.0,-0.1046633539503743,-0.12258053405653217,10.197064419319652,10.183340466164013,0.01791718010615788,0.013723953155638569,0.022569276310388454
6,3,L-TOP,4,-213000.0,0.20876601630901437,0.1549331709786988,9.193244103120728,9.180938458560082,0.05383284533031557,0.0123056445606462,0.05522141001831301
7,3,L-TOP,20,-214628.0,0.1748014012019281,0.15997085426534693,9.490735118535923,9.482802712152147,0.014830546936581174,0.00793240638377668,0.016818685842702404
8,3,L-TOP,24,-220000.0,0.11361596037014365,0.17659397135126456,10.481944539186063,10.478880580884686,0.06297801098112091,0.0030639583013769567,0.06305249961429572
9,3,L-BOT,5,-213000.0,-0.20898922889612104,-0.15093843759968495,-7.362706466517189,-7.384589786244779,0.05805079129643609,0.021883319727590056,0.06203848847644752
10,3,L-BOT,21,-214628.0,-0.1631587803656469,-0.15585043925322575,-7.625305859395629,-7.624933870864529,0.007308341112421152,0.0003719885310999871,0.007317801943396334
11,3,L-BOT,25,-220000.0,-0.12220268641699761,-0.1720588378298973,-8.418300830194326,-8.418010297509063,0.0498561514128997,0.00029053268526268994,0.04985699793356181
12,3,R-TOP,104,213000.0,-0.07833999366812794,-0.08870287811555141,8.187199928531914,8.182303236872903,0.010362884447423476,0.00489669165901141,0.011461542796416339
13,3,R-TOP,120,214628.0,-0.10415746477426424,-0.0916493953559187,8.44441050215651,8.451696052163584,0.012508069418345535,0.007285550007074093,0.014475187027452466
14,3,R-TOP,124,220000.0,-0.09763834659070181,-0.10137217828912083,9.345984070297074,9.340626152741926,0.003733831698419024,0.0053579175551483615,0.0065306033166841245
15,4,L-BOT,5,-213000.0,-0.20094485722800437,-0.19879342794281812,-7.081385307577262,-7.1050181791499805,0.002151429285186246,0.023632871572718095,0.023730597690360518
16,4,L-BOT,21,-214628.0,-0.22545072742815675,-0.20526293720816016,-7.339960341503094,-7.336263045885554,0.020187790219996588,0.003697295617540064,0.020523568618787298
17,4,L-BOT,25,-220000.0,-0.24271368520890224,-0.22661072822377284,-8.114403880677461,-8.099314289192371,0.016102956985129396,0.015089591485089926,0.022068099031222106
18,5,L-TOP,4,-213000.0,0.14861392881796398,0.09017282602545372,10.975613643985952,10.965190517026508,0.05844110279251026,0.010423126959443252,0.05936332260931343
19,5,L-TOP,20,-214628.0,0.10937036775237186,0.09310827289590444,11.318526746199748,11.322072871191686,0.016262094856467416,0.003546124991938626,0.016644240192306637
20,5,L-TOP,24,-220000.0,0.020275848729398582,0.10279452632837452,12.523828005530653,12.499696953854663,0.08251867759897594,0.024131051675990278,0.08597464630734486
21,5,R-BOT,105,213000.0,-0.032039698532487115,-0.026009973359183265,-10.831051693775642,-10.84720001043328,0.00602972517330385,0.016148316657638162,0.017237334960513134
22,5,R-BOT,121,214628.0,-0.04965341457774208,-0.02685588217906212,-11.194024806551884,-11.200240935529742,0.022797532398679963,0.006216128977857949,0.023629806239963712
23,5,R-BOT,125,220000.0,0.040440027561444936,-0.029647173444657466,-12.386280385078965,-12.365189246106027,0.0700872010061024,0.02109113897293824,0.07319188403126126
